split,kind,query,expected_title,expected_tmdb_id,before_rank,before_top1,after_rank,after_top1,rank_change
train,premise,a widower and a young explorer meet a rare bird and talking dogs on a remote plateau,Up (2009),14160,,My Family Is a Menagerie,,My Family Is a Menagerie,
train,scene,an old man reads his late wife's adventure scrapbook and discovers she filled it with their everyday life,Up (2009),14160,3,The Adventures of Huck Finn,1,Up,2
train,premise,a red haired archer tries to undo a witch's spell on her family before time runs out,Brave (2012),62177,4,Disenchanted,3,Disenchanted,1
train,scene,a princess splits another arrow while competing for her own hand in marriage,Brave (2012),62177,,The Princess Diaries 2: Royal Engagement,,The Princess Diaries 2: Royal Engagement,
train,premise,a happy emotion gets stranded far from headquarters with the sad emotion while a child struggles with moving,Inside Out (2015),150540,2,Inside Out 2,1,Inside Out,1
train,scene,an imaginary pink elephant lets himself fall out of a rocket wagon so the happy emotion can escape,Inside Out (2015),150540,2,Whispers: An Elephant's Tale,2,Whispers: An Elephant's Tale,0
train,premise,two elf brothers botch a spell to bring back their father and travel with only his walking legs,Onward (2020),508439,1,Onward,1,Onward,0
train,scene,a teenage elf walks across an invisible bridge while his brother encourages him,Onward (2020),508439,1,Onward,1,Onward,0
train,premise,two unusual boys enter a town's race because they want enough money to buy a scooter,Luca (2021),508943,,Something Wicked This Way Comes,,Something Wicked This Way Comes,
train,scene,rain during a bicycle race reveals that the boys are sea creatures,Luca (2021),508943,3,The Strange Monster of Strawberry Cove,3,Mooncussers,0
train,premise,a teenager tries to hide her giant furry transformation while raising money to see a boy band,Turning Red (2022),508947,1,Turning Red,1,Turning Red,0
train,scene,a huge red panda mother interrupts a boy band concert at a stadium,Turning Red (2022),508947,1,Turning Red,1,Turning Red,0
train,premise,an inventor insect hires performers believing they are warriors who can defend his colony,A Bug's Life (1998),9487,1,A Bug's Life,1,A Bug's Life,0
train,scene,the insects build a fake bird out of leaves to scare their enemies,A Bug's Life (1998),9487,1,A Bug's Life,1,A Bug's Life,0
train,premise,a young inventor investigates a masked villain after losing his older brother in a fire,Big Hero 6 (2014),177572,,Inspector Gadget,,"Now You See Him, Now You Don't",
train,scene,a white inflatable robot uses his rocket fist to push a boy out of a portal and stays behind,Big Hero 6 (2014),177572,1,Big Hero 6,1,Big Hero 6,0
train,premise,two arcade friends go online to buy a replacement part before their game gets unplugged,Ralph Breaks the Internet (2018),404368,1,Ralph Breaks the Internet,1,Ralph Breaks the Internet,0
train,scene,a racing girl meets a room full of animated princesses who change into casual clothes,Ralph Breaks the Internet (2018),404368,,Enchanted,,Enchanted,
train,premise,a rookie officer investigates predators mysteriously becoming violent in an animal metropolis,Zootopia (2016),269149,2,Zootopia 2,2,Zootopia 2,0
train,scene,a rabbit tricks a sheep into confessing by using blueberries in a dart gun,Zootopia (2016),269149,1,Zootopia,1,Zootopia,0
train,premise,a sheltered girl persuades a wanted thief to escort her outside for her birthday,Tangled (2010),38757,1,Tangled,1,Tangled,0
train,scene,a young man cuts the girl's magical hair so the woman holding her captive loses her youth,Tangled (2010),38757,1,Tangled,1,Tangled,0
train,premise,two royal sisters are separated after hidden ice magic accidentally plunges their kingdom into winter,Frozen (2013),109445,1,Frozen,1,Frozen,0
train,scene,a freezing young woman turns away from the man who could help her to shield her sister from a sword,Frozen (2013),109445,1,Frozen,1,Frozen,0
train,premise,two sisters enter an enchanted forest to discover why a mysterious voice is calling one of them,Frozen II (2019),330457,1,Frozen II,1,Frozen II,0
train,scene,a woman with ice powers tames a water horse while crossing a stormy sea,Frozen II (2019),330457,,"Stormy, the Thoroughbred",,Frozen,
train,premise,looking for the animated movie with two hawaiian sisters trying to keep their family together while hiding a runaway experiment,Lilo & Stitch (2002),11544,1,Lilo & Stitch,1,Lilo & Stitch,0
train,scene,a little blue alien reads a book about a lost duckling and wanders into the woods alone,Lilo & Stitch (2002),11544,,Into the Woods,,Into the Woods,
train,premise,a troubled boy bonds with a cook aboard a solar sailing ship without realizing the cook plans a mutiny,Treasure Planet (2002),9016,1,Treasure Planet,1,Treasure Planet,0
train,scene,a cyborg gives up the treasure to catch the boy dangling above a fiery pit,Treasure Planet (2002),9016,1,Treasure Planet,1,Treasure Planet,0
train,premise,an expedition's translator discovers that his fellow explorers plan to steal the power source of an underwater civilization,Atlantis: The Lost Empire (2001),10865,1,Atlantis: The Lost Empire,1,Atlantis: The Lost Empire,0
train,scene,a princess floats into a giant crystal that takes her body into itself,Atlantis: The Lost Empire (2001),10865,,The BFG,,The BFG,
train,premise,a boy wrongly sent to a desert camp discovers that the digging is a hunt for buried treasure,Holes (2003),8326,1,Holes,1,Holes,0
train,scene,a boy carries his friend up a mountain and they survive by eating onions,Holes (2003),8326,,Mountain Born,,Mountain Born,
train,premise,a weapons manufacturer returns from captivity and decides to stop selling the weapons that hurt him,Iron Man (2008),1726,1,Iron Man,1,Iron Man,0
train,scene,a man tests rocket boots in his workshop and crashes into the ceiling,Iron Man (2008),1726,,Man in Space,,The Rocketeer,
train,premise,a billionaire in powered armor faces a rival industrialist and an attacker using electric whips,Iron Man 2 (2010),10138,2,The Invincible Iron Man,2,The Invincible Iron Man,0
train,scene,a man with electrified whips walks onto a racetrack and slices apart a racing car,Iron Man 2 (2010),10138,,Cars 3,,Cars 3,
train,premise,after a terrorist destroys his home an inventor is stranded with a broken suit and helped by a boy,Iron Man 3 (2013),68721,,Three Without Fear,,Three Without Fear,
train,scene,a superhero links falling airplane passengers together in a chain to rescue them,Iron Man 3 (2013),68721,,Planes: Fire & Rescue,,Planes: Fire & Rescue,
train,premise,a wartime volunteer is used to sell war bonds before he defies orders to rescue captured soldiers,Captain America: The First Avenger (2011),1771,,The Million Dollar Dixie Deliverance,,The Million Dollar Dixie Deliverance,
train,scene,a skinny recruit jumps onto a dummy grenade to protect the other soldiers,Captain America: The First Avenger (2011),1771,,The Pacifier,,The Avengers,
train,premise,a patriotic hero discovers that the intelligence agency he works for has been infiltrated and his old friend is an assassin,Captain America: The Winter Soldier (2014),100402,,Guns in the Heather,,Guns in the Heather,
train,scene,a shield carrying hero fights a crowded elevator full of men who turn on him,Captain America: The Winter Soldier (2014),100402,,Iron Man,,Punisher: War Zone,
train,premise,a dispute over government oversight divides a superhero team while one hero protects his wanted childhood friend,Captain America: Civil War (2016),271110,2,Guardians of the Galaxy Vol. 3,1,Captain America: Civil War,1
train,scene,a tiny hero grows into a giant during a fight between superheroes at an airport,Captain America: Civil War (2016),271110,5,Ant-Man and the Wasp,5,Ant-Man and the Wasp,0
train,premise,a banished prince must learn humility on earth before he can wield his magical weapon again,Thor (2011),10195,,Enchanted,,Enchanted,
train,scene,a blond stranger in a diner smashes his empty coffee cup and asks for another,Thor (2011),10195,,The Kids Who Knew Too Much,,The Kids Who Knew Too Much,
train,premise,a prince imprisoned on an alien world must escape to stop his sister from taking over his homeland,Thor: Ragnarok (2017),284053,1,Thor: Ragnarok,1,Thor: Ragnarok,0
train,scene,a hammer wielding hero enters an arena and is delighted to recognize the huge green gladiator,Thor: Ragnarok (2017),284053,1,Thor: Ragnarok,2,Big Hero 6,-1
train,premise,a surgeon whose hands are damaged searches for a cure and becomes a student of mystical arts,Doctor Strange (2016),284052,1,Doctor Strange,1,Doctor Strange,0
train,scene,a sorcerer traps a cosmic enemy in a repeating moment and keeps returning after being killed,Doctor Strange (2016),284052,2,The Sorcerer's Apprentice,2,The Sorcerer's Apprentice,0
train,premise,a wooden puppet wants to become a real boy and has to prove himself brave honest and unselfish,Pinocchio (1940),10895,1,Pinocchio,1,Pinocchio,0
train,scene,a boy's nose grows longer every time he tells a lie while sitting in a cage with a talking cricket,Pinocchio (1940),10895,1,Pinocchio,1,Pinocchio,0
train,premise,a baby circus elephant with giant ears gets bullied until he learns he can actually fly,Dumbo (1941),11360,2,Dumbo,2,Dumbo,0
train,scene,a baby elephant gets drunk on accidental champagne in his water bucket and sees pink elephants marching and dancing,Dumbo (1941),11360,2,Whispers: An Elephant's Tale,2,Whispers: An Elephant's Tale,0
train,premise,a young deer grows up in the forest through the seasons and eventually becomes the great prince like his father,Bambi (1942),3170,1,Bambi,1,Bambi,0
train,scene,hunters come through the forest and a young deer's mother is shot and killed while they're running through the snow,Bambi (1942),3170,5,The Outlaw Cats of Colossal Cave,1,Bambi,4
train,premise,a boy who never grows up takes some london children flying to a magical island full of pirates and mermaids,Peter Pan (1953),10693,2,Peter Pan & Wendy,1,Peter Pan,1
train,scene,a boy teaches children to fly by sprinkling them with fairy dust and telling them to think happy thoughts before flying out the window,Peter Pan (1953),10693,,The Sky's the Limit,,The Sky's the Limit,
train,premise,a fashionable villainess obsessed with fur coats kidnaps a litter of puppies from their dalmatian parents,One Hundred and One Dalmatians (1961),12230,1,One Hundred and One Dalmatians,1,One Hundred and One Dalmatians,0
train,scene,a woman with half white half black hair threatens to have dozens of puppies made into a fur coat while smoking from a long cigarette holder,One Hundred and One Dalmatians (1961),12230,3,101 Dalmatians,2,101 Dalmatians,1
train,premise,a young orphan boy destined to be king is tutored by an eccentric wizard who turns him into different animals to teach him lessons,The Sword in the Stone (1963),9078,1,The Sword in the Stone,1,The Sword in the Stone,0
train,scene,a wizard and a boy turned into fish swim through a moat and get chased by a hungry pike with huge teeth,The Sword in the Stone (1963),9078,1,The Sword in the Stone,1,The Sword in the Stone,0
train,premise,a boy raised by wolves in the jungle is escorted back to the man village while a tiger hunts him,The Jungle Book (1967),9325,2,The Jungle Book,2,The Jungle Book,0
train,scene,a laid back bear teaches a boy to relax and scratch his back against a tree while singing about the bare necessities of life,The Jungle Book (1967),9325,1,The Jungle Book,1,The Jungle Book,0
train,premise,an outlaw fox steals from a greedy prince to give to the poor in a medieval forest full of talking animals,Robin Hood (1973),11886,2,Home on the Range,2,Home on the Range,0
train,scene,a fox in disguise as a stork wins a rigged archery contest then has to escape by revealing himself and swinging away,Robin Hood (1973),11886,,The Story of Robin Hood and His Merrie Men,,Ewoks: The Battle for Endor,
train,premise,a fox and a hunting dog become best friends as young pups but are forced apart when they grow up on opposite sides of a hunt,The Fox and the Hound (1981),10948,1,The Fox and the Hound,1,The Fox and the Hound,0
train,scene,"an old hound corners a fox and a bear fight breaks out, and the dog gets badly hurt saving his old friend",The Fox and the Hound (1981),10948,1,The Fox and the Hound,1,The Fox and the Hound,0
train,premise,a young pig keeper and a magical pig with the power to see the future must stop an evil king from raising an undead army with a cauldron,The Black Cauldron (1985),10957,1,The Black Cauldron,1,The Black Cauldron,0
train,scene,a horned skeletal king rises from a black cauldron along with an army of undead soldiers that march out to attack,The Black Cauldron (1985),10957,1,The Black Cauldron,1,The Black Cauldron,0
train,premise,a mouse detective living beneath sherlock holmes investigates the kidnapping of a toymaker with the help of a doctor mouse sidekick,The Great Mouse Detective (1986),9994,1,The Great Mouse Detective,1,The Great Mouse Detective,0
train,scene,"a mouse detective chases a villainous bat through the gears of a giant clock tower at night, dangling from the hands",The Great Mouse Detective (1986),9994,1,The Great Mouse Detective,1,The Great Mouse Detective,0
train,premise,a stray orange kitten in new york city falls in with a gang of dogs led by a street smart mutt and their owner,Oliver & Company (1988),12233,1,Oliver & Company,1,Oliver & Company,0
train,scene,a gang of stray dogs weaves in and out of traffic pulling a scooter through the streets of new york city to steal groceries,Oliver & Company (1988),12233,1,Oliver & Company,1,Oliver & Company,0
train,premise,a native american woman falls in love with an english settler and tries to prevent a war between her people and the colonists,Pocahontas (1995),10530,1,Pocahontas,1,Pocahontas,0
train,scene,"a woman jumps in front of her father to stop him from executing an english settler, laying her head on a rock beside his",Pocahontas (1995),10530,,Mulan,,Mulan,
train,premise,a young woman disguises herself as a man to take her father's place in the army against invaders,Mulan (1998),10674,1,Mulan,1,Mulan,0
train,scene,a woman disguised as a soldier triggers an avalanche with a cannon to bury an entire invading army in the mountains,Mulan (1998),10674,1,Mulan,1,Mulan,0
train,premise,a boy on the texas frontier bonds with a stray yellow dog who protects the family farm,Old Yeller (1957),22660,1,Old Yeller,1,Old Yeller,0
train,scene,a boy has to shoot his own beloved dog after it contracts rabies protecting the family from a wolf,Old Yeller (1957),22660,,White Fang 2: Myth of the White Wolf,,White Fang 2: Myth of the White Wolf,
train,premise,a group of jamaican sprinters who miss olympic qualification form the country's first bobsled team,Cool Runnings (1993),864,1,Cool Runnings,1,Cool Runnings,0
train,scene,a jamaican bobsled team carries their broken sled across the finish line on their shoulders after it crashes at the olympics,Cool Runnings (1993),864,1,Cool Runnings,1,Cool Runnings,0
train,premise,an inventor accidentally shrinks his and the neighbor's children down to a quarter inch tall in the backyard,"Honey, I Shrunk the Kids (1989)",9354,1,"Honey, I Shrunk the Kids",1,"Honey, I Shrunk the Kids",0
train,scene,tiny shrunken kids ride on the back of a giant ant through the backyard grass to escape a sprinkler,"Honey, I Shrunk the Kids (1989)",9354,1,"Honey, I Shrunk the Kids",1,"Honey, I Shrunk the Kids",0
train,premise,identical twins separated at birth meet by chance at summer camp and swap places to reunite their divorced parents,The Parent Trap (1998),9820,2,The Parent Trap,1,The Parent Trap,1
train,scene,twin girls who just met at camp have a fencing and paintball duel in a cabin before realizing they're sisters,The Parent Trap (1998),9820,1,The Parent Trap,1,The Parent Trap,0
train,premise,a mother and teenage daughter who constantly argue magically switch bodies after eating fortune cookies at a chinese restaurant,Freaky Friday (2003),10330,1,Freaky Friday,1,Freaky Friday,0
train,scene,a mother and daughter who swapped bodies at a chinese restaurant feel the ground shake as their fortune cookies glow,Freaky Friday (2003),10330,1,Freaky Friday,1,Freaky Friday,0
train,premise,a stunt pilot in the 1930s discovers a hidden jet pack and becomes a helmeted hero while nazi spies chase him for it,The Rocketeer (1991),10249,1,The Rocketeer,1,The Rocketeer,0
train,scene,"a man wearing a strapped-on rocket pack takes off from an airfield, flying erratically over a crowd before crashing into a barn",The Rocketeer (1991),10249,1,The Rocketeer,1,The Rocketeer,0
train,premise,an awkward teenage son is dragged on an embarrassing cross country fishing road trip by his clumsy dad,A Goofy Movie (1995),15789,1,A Goofy Movie,1,A Goofy Movie,0
train,scene,a father and son drive off a collapsing bridge into a river gorge and go over a waterfall in their car during a road trip,A Goofy Movie (1995),15789,2,College Road Trip,1,A Goofy Movie,1
train,premise,an absent-minded professor invents a bouncy flying green substance that gets him into trouble while he keeps forgetting his own wedding,Flubber (1997),9574,1,Flubber,1,Flubber,0
train,scene,a professor's flying green goop makes a basketball team bounce impossibly high off the floor to win a game,Flubber (1997),9574,4,The Absent-Minded Professor,4,Son of Flubber,0
train,premise,an animated fairy tale princess gets pushed through a portal into modern day live action new york city,Enchanted (2007),4523,1,Enchanted,1,Enchanted,0
train,scene,"an animated princess summons rats, pigeons, and cockroaches out of a new york city apartment to help her clean while she sings",Enchanted (2007),4523,1,Enchanted,1,Enchanted,0
train,premise,rebels are chased across the galaxy while a young hero trains with a small green master on a swamp planet,The Empire Strikes Back (1980),1891,2,Star Wars Rebels: Spark of Rebellion,2,Star Wars Rebels: Spark of Rebellion,0
train,scene,a man learns his enemy is actually his father right after having his hand cut off during a lightsaber duel in a cloud city,The Empire Strikes Back (1980),1891,,Thor,,Thor,
train,premise,rebels attempt to rescue their friend from a gangster's palace before launching a final assault on a second death star,Return of the Jedi (1983),1892,1,Return of the Jedi,1,Return of the Jedi,0
train,scene,a hero in a hooded robe blinds a gangster's dancing girl slave then chokes the gangster to death with his own chain,Return of the Jedi (1983),1892,,Our Unsung Villians,,Our Unsung Villians,
train,premise,two jedi knights escort a young queen while discovering a gifted slave boy on a desert planet who might be the chosen one,Star Wars: Episode I - The Phantom Menace (1999),1893,1,Star Wars: Episode I - The Phantom Menace,1,Star Wars: Episode I - The Phantom Menace,0
train,scene,a young boy wins a dangerous multi-engine pod race across the desert against huge alien competitors to win his freedom,Star Wars: Episode I - The Phantom Menace (1999),1893,,One Little Indian,,One Little Indian,
train,premise,an archaeologist searches for his missing father and the holy grail while racing nazis across europe,Indiana Jones and the Last Crusade (1989),89,1,Indiana Jones and the Last Crusade,1,Indiana Jones and the Last Crusade,0
train,scene,"an archaeologist has to pick the true holy grail from dozens of fake cups in a booby trapped chamber, watching a knight age and turn to dust after choosing wrong",Indiana Jones and the Last Crusade (1989),89,1,Indiana Jones and the Last Crusade,1,Indiana Jones and the Last Crusade,0
train,scene,an archaeologist swaps a golden idol for a bag of sand on a pressure plate and a giant boulder starts chasing him out of the temple,Raiders of the Lost Ark (1981),85,2,Indiana Jones and the Temple of Doom,2,Indiana Jones and the Temple of Doom,0
train,scene,nazis open an ancient golden ark at a ceremony and their faces melt off as ghostly spirits pour out and destroy them,Raiders of the Lost Ark (1981),85,1,Raiders of the Lost Ark,1,Raiders of the Lost Ark,0
train,scene,a blacksmith and a witty pirate captain team up to rescue a governor's daughter kidnapped by a ghost ship crew of cursed pirates,Pirates of the Caribbean: The Curse of the Black Pearl (2003),22,1,Pirates of the Caribbean: The Curse of the Black Pearl,1,Pirates of the Caribbean: The Curse of the Black Pearl,0
train,scene,"cursed pirates are revealed to be walking skeletons in the moonlight as they raid a ship, immune to bullets and swords",Pirates of the Caribbean: The Curse of the Black Pearl (2003),22,1,Pirates of the Caribbean: The Curse of the Black Pearl,1,Pirates of the Caribbean: The Curse of the Black Pearl,0
train,scene,a treasure hunter steals a founding document to find an invisible map written on the back with lemon juice,National Treasure (2004),2059,1,National Treasure,1,National Treasure,0
train,scene,a man breaks into a heavily guarded archives building at night to steal a historic document before rivals can get to it first,National Treasure (2004),2059,1,National Treasure,1,National Treasure,0
train,scene,a bookish young woman is held prisoner in an enchanted castle by a cursed beast after her father is caught trespassing,Beauty and the Beast (1991),10020,1,Beauty and the Beast,1,Beauty and the Beast,0
train,scene,a woman in a golden gown dances with a beast in a grand ballroom while an enchanted candelabra and clock sing about being their guest,Beauty and the Beast (1991),10020,2,Beauty and the Beast,2,Beauty and the Beast,0
train,scene,an evil queen disguised as an old hag tricks a princess into eating a poisoned apple that puts her into a death-like sleep,Snow White and the Seven Dwarfs (1938),408,2,Snow White,1,Snow White and the Seven Dwarfs,1
train,scene,seven small miners march home from the mine singing while a princess cooks and cleans for them in their cottage,Snow White and the Seven Dwarfs (1938),408,1,Snow White and the Seven Dwarfs,1,Snow White and the Seven Dwarfs,0
train,scene,a man abducted from earth as a child grows up to be a space outlaw who steals a mysterious orb wanted by a powerful villain,Guardians of the Galaxy (2014),118340,1,Guardians of the Galaxy,1,Guardians of the Galaxy,0
train,scene,a ragtag group of misfits including a talking raccoon and a tree creature dance and hold hands together as a bomb counts down inside a spaceship,Guardians of the Galaxy (2014),118340,,Thunderbolts*,,Thunderbolts*,
train,scene,"an apprentice in a wizard's oversized hat and red robe commands an enchanted broom to carry buckets of water, then multiplies it with an axe until the room floods, all set to orchestral music with no dialogue",Fantasia (1940),756,,The Sorcerer's Apprentice,,The Sorcerer's Apprentice,
train,scene,a one-legged ship's cook with a parrot on his shoulder secretly plots mutiny against the captain while pretending to mentor a cabin boy during a voyage to find buried treasure,Treasure Island (1950),6646,2,Treasure Planet,2,Treasure Planet,0
train,scene,"a giant mechanical tentacled sea creature attacks a futuristic submarine during a storm, and the crew has to fight it off on the deck with harpoons and axes","20,000 Leagues Under the Sea (1954)",173,2,Star Wars: Droids - The Great Heep,1,"20,000 Leagues Under the Sea",1
train,scene,"an old Irish caretaker falls down a well into a glowing underground world and captures the king of the leprechauns, who must grant him three wishes to be set free",Darby O'Gill and the Little People (1959),18887,1,Darby O'Gill and the Little People,1,Darby O'Gill and the Little People,0
train,scene,"a shipwrecked family builds an elaborate treehouse with pulley-lifted rooms, then rigs coconut bombs, spike pits, and a rolling log trap on the beach to fight off pirates",Swiss Family Robinson (1960),18444,1,Swiss Family Robinson,1,Swiss Family Robinson,0
train,scene,a forgetful college professor invents a bouncy green rubber compound and paints it on the basketball team's sneakers so they can leap absurdly high and win the big game,The Absent-Minded Professor (1961),17984,1,The Absent-Minded Professor,1,The Absent-Minded Professor,0
train,scene,"two identical twin girls who don't know they're related meet as rivals at a summer camp, get into a trick-fueled feud, then realize they were separated as babies",The Parent Trap (1961),19186,2,The Parent Trap,2,The Parent Trap,0
train,scene,"an old bull terrier, a young retriever, and a Siamese cat trek together through the wilderness back to their family, and the old dog fights off a bear to save the others",The Incredible Journey (1963),37969,2,Homeward Bound: The Incredible Journey,2,Homeward Bound: The Incredible Journey,0
train,scene,"a woman on a flying enchanted bed leads an animated soccer match on a cartoon island where the players include a lion goalkeeper, and the other team of animals keeps losing the ball",Bedknobs and Broomsticks (1971),12335,,Enchanted,,Enchanted,
train,scene,"an invisible furry dragon protects an orphan boy from a greedy backwoods family trying to sell him, turning visible in flashes of color only when it needs to scare people off",Pete's Dragon (1977),11114,1,Pete's Dragon,1,Pete's Dragon,0
train,scene,a sorcerer's apprentice uses a magic amulet to fight a fire-breathing dragon living beneath a mountain that has been demanding a lottery of sacrificed young women from a nearby kingdom,Dragonslayer (1981),848,1,Dragonslayer,1,Dragonslayer,0
train,scene,two boys discover that a carousel at a sinister traveling carnival makes you younger each time it spins backward and older each time it spins forward,Something Wicked This Way Comes (1983),24808,1,Something Wicked This Way Comes,1,Something Wicked This Way Comes,0
train,scene,"a teenage girl runs away during the Depression to find her father out west, rides freight trains, and befriends a wild wolf that ends up traveling with her",The Journey of Natty Gann (1985),35144,1,The Journey of Natty Gann,1,The Journey of Natty Gann,0
train,scene,"a teenage girl navigates an impossible castle with staircases running along the walls and ceiling in every direction, chasing a goblin king to save her baby brother",Labyrinth (1986),13597,1,Labyrinth,1,Labyrinth,0
train,scene,"a dwarf farmer protects a baby with a birthmark from an evil queen, while a sorceress who keeps getting turned into the wrong animals is finally restored to human form just in time for the final battle",Willow (1988),847,1,Willow,1,Willow,0
train,scene,a toddler accidentally grows to giant size in Las Vegas and wanders the strip picking up cars and toys while the whole city panics,"Honey, I Blew Up the Kid (1992)",11158,,"Honey, I Shrunk the Kids",,"Honey, I Shrunk the Kids",
train,scene,"a stingy old man in Victorian London is visited by the ghost of his dead former business partner, dragging chains made of cash boxes and ledgers, warning him that more spirits are coming that night",The Muppet Christmas Carol (1992),10437,3,The Haunted Mansion,1,The Muppet Christmas Carol,2
train,scene,"a ragtag youth hockey team from Minnesota executes a trick formation called the Flying V, skating in a wedge shape to blow past defenders at an international tournament",D2: The Mighty Ducks (1994),11164,3,Miracle,3,Miracle,0
train,scene,a boy who has been told his estranged father will come back when the last-place baseball team wins the pennant starts seeing actual angels helping the outfielders make impossible catches,Angels in the Outfield (1994),24795,1,Angels in the Outfield,1,Angels in the Outfield,0
train,scene,"an eccentric new fitness guru takes over a summer camp for overweight boys and forces them through a brutal confidence course, until the kids turn the tables on him during a relay race",Heavyweights (1995),14819,1,Heavyweights,1,Heavyweights,0
train,scene,American soldiers during the Vietnam War have to secretly parachute a full-grown elephant out of a cargo plane to deliver it to an allied village,Operation Dumbo Drop (1995),27281,1,Operation Dumbo Drop,1,Operation Dumbo Drop,0
train,scene,"a boy escapes his cruel aunts inside a giant magically grown peach that rolls down a hill crushing everything in its path, then floats out to sea with a crew of oversized talking insects",James and the Giant Peach (1996),10539,1,James and the Giant Peach,1,James and the Giant Peach,0
train,scene,a businessman's son who was raised alone in the Amazon jungle by his mother comes to live in the city for the first time and keeps a pet tarantula loose in the apartment,Jungle 2 Jungle (1997),9446,1,Jungle 2 Jungle,1,Jungle 2 Jungle,0
train,scene,a man raised by gorillas in the jungle swings through the trees on vines and keeps slamming face-first into the same tree trunk every single time,George of the Jungle (1997),10603,1,George of the Jungle,1,George of the Jungle,0
train,scene,a rebellious teenager on a military academy campus gets tarred and feathered as a prank right before Christmas break and has to make his way home across the country covered in it,I'll Be Home for Christmas (1998),17037,2,The Ghosts of Buxley Hall,1,I'll Be Home for Christmas,1
train,scene,a giant gorilla raised by a woman since he was a baby ends up rampaging through a city carnival and saves a girl from a burning Ferris wheel,Mighty Joe Young (1998),9822,3,George of the Jungle,3,George of the Jungle,0
train,scene,"a bumbling cyborg detective's arms, legs, and neck extend to absurd lengths at the push of a button while he chases down a masked villain called Claw",Inspector Gadget (1999),332,1,Inspector Gadget,1,Inspector Gadget,0
train,scene,"a pod of humpback whales spreads its fins and takes flight, soaring through clouds and over mountains to the sound of an orchestral tone poem with no dialogue",Fantasia 2000 (2000),49948,,Pacifically Peeking,,Finding Dory,
train,scene,a bouncing striped animal feeling like he's the only one of his kind sets off through a blizzard with a scrapbook to search for a family tree of others just like him,The Tigger Movie (2000),15655,1,The Tigger Movie,1,The Tigger Movie,0
train,scene,a plant-eating dinosaur raised by lemurs after being separated from his own kind crosses a desert with a herd fleeing after a meteor shower destroys their home,Dinosaur (2000),10567,1,Dinosaur,1,Dinosaur,0
train,scene,"a cynical adult publicist is confronted in his office by an eight-year-old boy who turns out to be his own childhood self, disappointed at what he grew up to become",The Kid (2000),4244,1,The Kid,1,The Kid,0
